start_chunk	end_chunk	id_chunk	n_observed	mean_simulated	odds_ratio	u	pvalue	cintervL	cintervH	stdev
0	1000	0	4108	1131.42171	4.388928447594691	5187.66001903864	0.0	1131.624116071097	1131.2193039289032	32.656378101006545
1000	2000	1	1164	548.64729	2.1974839917391122	541.8310467464946	7.535175801737998e-120	548.7898836006491	548.5046963993509	23.00618016220642
2000	3000	2	935	599.30867	1.5901798509777771	166.72052705723308	3.850136182065495e-38	599.4581119392892	599.1592280607108	24.111097296288694
3000	4000	3	689	479.64652	1.4534889906462414	82.85371809569239	8.835589870678251e-20	479.7801783697298	479.5128616302702	21.564561945228565
4000	5000	4	973	569.49654	1.7481676094080145	244.55142723726385	4.002480104520353e-55	569.6424218821734	569.3506581178266	23.53671446970456
5000	6000	5	964	548.63359	1.7990372298920125	265.7650512087149	9.504395062191694e-60	548.7767780004075	548.4904019995926	23.102081155426237
6000	7000	6	685	541.28697	1.2757897756336698	36.328775308344234	1.6668458424150894e-09	541.429466663219	541.144473336781	22.990540189806328
7000	8000	7	590	542.36425	1.0907452832081246	4.1939015847150785	0.04056962719912564	542.5062981108408	542.2222018891591	22.918170344455945
8000	9000	8	581	550.82697	1.0565673695264552	1.674568060356421	0.19564779592676587	550.9703933383488	550.6835466616511	23.14005079119534
9000	10000	9	824	549.52468	1.5229423246219829	122.93276600683157	1.4425524416456623e-28	549.6674151994144	549.3819448005855	23.02902583475037
10000	11000	10	600	522.7508	1.1527656822649104	11.226301908292669	0.0008064618055971703	522.8910897347988	522.6105102652012	22.634472367607778
11000	12000	11	415	549.70581	0.7492834361323716	37.11074216991625	1.1160719063360788e-09	549.8491327806507	549.5624872193494	23.123826721455515
12000	13000	12	493	540.9574	0.9089015488729097	4.512006305300986	0.03365773876499035	541.0992968166283	540.8155031833717	22.893760399724638
13000	14000	13	425	640.31174	0.6557727080534616	84.84252694298954	3.230996770548722e-20	640.4658009481681	640.1576790518319	24.85633235560709
14000	15000	14	434	652.34767	0.6571876644769634	85.63736716563562	2.1615199488797404e-20	652.5030726089905	652.1922673910095	25.07279712299966
15000	16000	15	501	581.67632	0.8574137715213057	12.111449923532547	0.0005011315382843389	581.823175997988	581.5294640020121	23.693879193952178
16000	17000	16	243	540.5233	0.4421830759188593	211.44020095974128	6.662845919709032e-48	540.6653565274737	540.3812434725262	22.919528291611936
17000	18000	17	311	552.76511	0.5550912927069831	129.0598978127221	6.580235480235593e-30	552.9084087938893	552.6218112061108	23.119956675735793
18000	19000	18	281	584.11076	0.4730093028834947	200.12421625715785	1.9621182230345375e-45	584.2586365465311	583.962883453469	23.85853541654223
19000	20000	19	212	583.00851	0.35619880496436584	320.78001956791155	9.794826051236044e-72	583.1558229586174	582.8611970413826	23.767605634137823
20000	21000	20	154	499.28073	0.30259529187048645	334.9177941356693	8.160350792799511e-75	499.41772186910066	499.14373813089935	22.102391740875014
21000	22000	21	233	579.95109	0.3940700583604759	275.67941803972883	6.563742752023019e-62	580.0984270681606	579.8037529318394	23.771495489596358
22000	23000	22	207	573.12696	0.35389357181526576	318.12463554914746	3.7102221758484844e-71	573.2733162465616	572.9806037534385	23.613248848017502
23000	24000	23	263	527.64255	0.49115609391162035	166.95698377525196	3.418424502152395e-38	527.7824097556672	527.5026902443328	22.56509914663572
24000	25000	24	279	555.90308	0.4942015697557203	173.41440196772373	1.3288296041268348e-39	556.0473439421468	555.7588160578533	23.275674566241896
25000	26000	25	313	661.24156	0.46422002736379886	235.0936709515483	4.619016350335159e-53	661.397518154333	661.085601845667	25.16242930971491
26000	27000	26	311	892.49399	0.337237645513346	526.4011877222355	1.713542735120808e-116	892.6742256484403	892.3137543515599	29.079382109664913
27000	28000	27	251	696.50965	0.35150463758850875	389.8045610439243	9.129028963608874e-87	696.6703729945706	696.3489270054293	25.931192932017225
28000	29000	28	389	720.24291	0.5301426937198945	189.4108533093809	4.274940377573166e-43	720.4063548073583	720.0794651926418	26.37033266251869
29000	30000	29	562	871.65049	0.6335389004521119	131.44174051681688	1.982068377861113e-30	871.8285401665674	871.4724398334325	28.726774492795048
