start_chunk	end_chunk	id_chunk	n_observed	mean_simulated	odds_ratio	u	pvalue	cintervL	cintervH	stdev
0	1000	0	2555	592.3833	5.511745418939313	4005.4534248017853	0.0	592.8423972289751	591.9242027710249	23.419751943818707
1000	2000	1	679	287.4999	2.4651883103058987	400.7266525432776	3.82606094631656e-89	287.8277674241006	287.17203257589944	16.725375929706335
2000	3000	2	515	313.625	1.6784184713541468	112.48859376509108	2.792669349923296e-26	313.965634801782	313.284365198218	17.376673300721286
3000	4000	3	363	251.3781	1.4614579072814802	44.85667431141161	2.1199703375320987e-11	251.68396206152795	251.07223793847203	15.602824756754785
4000	5000	4	533	298.0132	1.8347769655090147	155.75721396756535	9.565811621818066e-36	298.3434799036414	297.68292009635854	16.84844282893823
5000	6000	5	655	287.331	2.3731222548377153	358.7859791727378	5.17529041502307e-80	287.65851693359406	287.003483066406	16.707496491096443
6000	7000	6	397	283.2721	1.4187664812494605	41.93311218423824	9.444959564362174e-11	283.5963795195707	282.94782048042936	16.542347523552998
7000	8000	7	323	283.9006	1.142508487417248	5.317411894059404	0.02111334766836556	284.2204861990098	283.58071380099017	16.31823273642094
8000	9000	8	336	288.4556	1.170791101621605	7.680960414230611	0.005580645965546151	288.7844844928632	288.1267155071368	16.777259270810596
9000	10000	9	491	288.0593	1.742414430285576	122.24448032264843	2.0407557071548564e-28	288.3878859148606	287.7307140851394	16.76202802497359
10000	11000	10	310	273.6722	1.1371634236214319	4.763409309324828	0.029070910691954263	273.989856894731	273.35454310526893	16.204510087009727
11000	12000	11	231	287.6852	0.7981116636288804	12.328633835297396	0.000446062744632165	288.0162012215468	287.3541987784532	16.885239144294047
12000	13000	12	234	283.5519	0.82088760150073	9.475750018060637	0.00208205746069905	283.8791088355937	283.2246911644063	16.691779605242814
13000	14000	13	262	335.3675	0.7751056361876077	17.94701850432247	2.2713993650497702e-05	335.7203851489062	335.0146148510938	18.001595589002658
14000	15000	14	200	341.59	0.576693946566361	71.21294147015232	3.206777972060492e-17	341.95070524194654	341.2292947580534	18.40051901441913
15000	16000	15	174	304.6546	0.5632362450139037	68.2108691513821	1.4691371217191053e-16	304.98929542726705	304.319904572733	17.07369025254939
16000	17000	16	90	283.2808	0.3112604458677817	184.14346270709504	6.036563571530361e-42	283.60659640410995	282.95500359589005	16.61972777635061
17000	18000	17	133	289.5794	0.4517040583481109	108.80332660562232	1.792144605728761e-25	289.91048746613535	289.2483125338647	16.88963870661537
18000	19000	18	125	305.8713	0.4008813794248081	141.5208723419514	1.2377886358592876e-32	306.2061571826662	305.53644281733386	17.081941819067293
19000	20000	19	85	305.4192	0.271870429278343	228.57958588959255	1.216508930705539e-51	305.754686578464	305.083713421536	17.11404894699089
20000	21000	20	39	261.6559	0.14558579700171	302.09887947217277	1.149480077762403e-67	261.9696371242006	261.3421628757994	16.004552327072442
21000	22000	21	67	303.5868	0.21522732996613608	276.6626716420291	4.007496330079427e-62	303.92539190426504	303.2482080957349	17.27245974839716
22000	23000	22	67	300.4114	0.21757647696577428	271.56062291894847	5.185395104526594e-61	300.74442683829716	300.07837316170287	16.98857115945894
23000	24000	23	93	276.1062	0.3303511609551892	167.3759277732857	2.76895297492409e-38	276.42781642944107	275.78458357055894	16.40649632188421
24000	25000	24	95	291.0262	0.31971096439338614	183.4322629055369	8.630903069394084e-42	291.3542735895991	290.69812641040096	16.7358929716941
25000	26000	25	132	346.4234	0.3724226816007776	179.04550787883363	7.831188316217362e-41	346.78267549586604	346.064124504134	18.327583922601473
26000	27000	26	88	467.1666	0.18087425124806483	480.02766135759725	2.1072915285872279e-106	467.57741617661225	466.7557838233878	20.95680902332223
27000	28000	27	79	364.725	0.21011292700916553	338.492255851971	1.3590410209700932e-75	365.0923181231551	364.35768187684494	18.737859402824004
28000	29000	28	100	376.6577	0.2577752045323757	296.28380965574553	2.1253020321429944e-66	377.0329482542789	376.28245174572106	19.14239615904968
29000	30000	29	177	456.8125	0.37598252154877543	232.4509483106209	1.7411800025310677e-52	457.2162189342539	456.4087810657461	20.594760104210973
